,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length,Embedding
19,0,[],Helpdesk,0.7979243707503281,0.7519881991194839,0.738978045524124,0.7979243707503281,175.1868323326111,bi-lstm-single,Average Case Length,With Embedding
20,1,['org:resource'],BPIC17,0.900776933878622,0.8630625063226349,0.8757081495411266,0.900776933878622,6529.911496353149,transformer-multiple,Average Case Length,With Embedding
21,0,[],Sepsis,0.6454513274336283,0.6301190962594252,0.5991511119338009,0.6454513274336283,43.068483543396,transformer-single,Average Case Length,With Embedding
22,1,['org:resource'],Traffic Fines,0.8116565312576015,0.6772496145752038,0.7333072440763939,0.8116565312576015,2262.645339870453,transformer-multiple,Average Case Length,With Embedding
23,1,['org:resource'],BPIC12,0.8608245353458311,0.8261879162712904,0.8288817614075432,0.8608245353458311,764.2470921993256,transformer-single,Average Case Length,With Embedding
24,1,['Resource'],Helpdesk,0.81432661338423,0.7821174308526855,0.76706861297261,0.81432661338423,42.520429611206055,dense-multiple,Average Case Length,With Embedding
25,1,['Resource'],Helpdesk,0.7927949421448169,0.7185280860647008,0.7336107104040449,0.7927949421448169,131.87643060684204,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
26,1,['Resource'],Helpdesk,0.7432303471310987,0.6426325883495301,0.6737667749212048,0.7432303471310987,90.23155875205994,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
27,1,['org:resource'],BPIC12,0.8581991891132431,0.8187610223939202,0.8253432077378344,0.8581991891132431,1322.2820184230804,transformer-multiple,Average Case Length,With Embedding
28,1,['Resource'],Helpdesk,0.8110461648574496,0.7783921820452608,0.7696494139966705,0.8110461648574496,33.95496463775635,dense-single,Average Case Length,With Embedding
29,0,[],Sepsis,0.6251327433628319,0.6179947922891621,0.5815240606569576,0.6251327433628319,24.158196926116943,dense-single,Average Case Length,With Embedding
30,1,['org:resource'],BPIC12,0.8612460358877604,0.8278962736642301,0.8294024624235355,0.8612460358877604,459.85858860015867,dense-single,Average Case Length,With Embedding
31,1,['org:resource'],BPIC12,0.8627232949299506,0.8285750496650438,0.8309666323588999,0.8627232949299506,584.5648427009583,dense-multiple,Average Case Length,With Embedding
32,1,['org:resource'],BPIC12,0.8309782826863634,0.7696044562317534,0.7876406858735797,0.8309782826863634,1914.54475107193,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
33,1,['org:resource'],BPIC17,0.9013116311169876,0.8681870235974221,0.8772067539633293,0.9013116311169876,3999.178962421417,transformer-single,Average Case Length,With Embedding
34,1,['org:resource'],BPIC12,0.8035245473887038,0.7424001583859758,0.7599135777927132,0.8035245473887038,1320.3970698833466,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
35,1,['Resource'],Helpdesk,0.8096146964094,0.7771141008367664,0.7655219909879657,0.8096146964094,56.99192767143249,transformer-single,Average Case Length,With Embedding
36,0,[],Helpdesk,0.7982225933436717,0.7242973615542588,0.7372020622394015,0.7982225933436717,28.960727834701537,dense-single,Average Case Length,With Embedding
37,1,['org:resource'],Traffic Fines,0.811405983945512,0.6914088972528776,0.7335256193373086,0.811405983945512,823.3448841094971,dense-single,Average Case Length,With Embedding
38,1,['org:group'],Sepsis,0.6463716814159292,0.6354595178195951,0.6108913593421487,0.6463716814159292,81.84913992881775,transformer-multiple,Average Case Length,With Embedding
