,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,prefix_length
3266,0,[],33,sepsis,0.45454545454545453,0.404040404040404,0.4109187109187109,0.45454545454545453,dense-single,1
3267,0,[],34,sepsis,0.5806451612903226,0.7032258064516129,0.5971582181259599,0.5806451612903226,dense-single,1
3268,0,[],35,sepsis,0.5172413793103449,0.3816091954022988,0.4268547544409613,0.5172413793103449,dense-single,1
3269,0,[],36,sepsis,0.5384615384615384,0.49358974358974356,0.49029304029304027,0.5384615384615384,dense-single,1
3270,0,[],37,sepsis,0.43478260869565216,0.3260869565217391,0.3589371980676329,0.43478260869565216,dense-single,1
3271,0,[],38,sepsis,0.5454545454545454,0.5454545454545454,0.5346320346320346,0.5454545454545454,dense-single,1
3272,0,[],39,sepsis,0.55,0.5775,0.519047619047619,0.55,dense-single,1
3273,0,[],4,sepsis,0.5360315893385982,0.4443116988933492,0.4664156577886384,0.5360315893385982,dense-single,1
3274,0,[],40,sepsis,0.5,0.437037037037037,0.44074074074074077,0.5,dense-single,1
3275,0,[],5,sepsis,0.3581932773109244,0.30476791891152893,0.28879634010328303,0.3581932773109244,dense-single,1
3276,0,[],6,sepsis,0.24347826086956523,0.3522358217816519,0.1896728174083741,0.24347826086956523,dense-single,1
3277,0,[],7,sepsis,0.6002239641657335,0.66735474851585,0.606013371324082,0.6002239641657335,dense-single,1
3278,0,[],8,sepsis,0.6128625472887768,0.6858719193903037,0.6241367263859842,0.6128625472887768,dense-single,1
3279,0,[],9,sepsis,0.3896276595744681,0.4332831121394951,0.3016145030723183,0.3896276595744681,dense-single,1
3280,1,['org:resource'],1,bpi_challenge_2012,0.99992359996944,0.999847231021073,0.9998854077262892,0.99992359996944,dense-multiple,10
3281,1,['org:resource'],10,bpi_challenge_2012,0.8874792327442984,0.8291672247493698,0.8501562948311131,0.8874792327442984,dense-multiple,10
3282,1,['org:resource'],11,bpi_challenge_2012,0.927317523868186,0.8892690751574095,0.9033523411478093,0.927317523868186,dense-multiple,10
3283,1,['org:resource'],12,bpi_challenge_2012,0.9240587109125717,0.8803729294744813,0.8971722150769446,0.9240587109125717,dense-multiple,10
3284,1,['org:resource'],13,bpi_challenge_2012,0.8999029754204398,0.8476916699430553,0.8694405687782519,0.8999029754204398,dense-multiple,10
3285,1,['org:resource'],14,bpi_challenge_2012,0.9454213669542136,0.9158649910148541,0.9263069301585898,0.9454213669542136,dense-multiple,10
3286,1,['org:resource'],15,bpi_challenge_2012,0.9092583291478319,0.8615695450708117,0.8813654623293211,0.9092583291478319,dense-multiple,10
3287,1,['org:resource'],16,bpi_challenge_2012,0.9466413400103609,0.9276664061909481,0.931869749319243,0.9466413400103609,dense-multiple,10
3288,1,['org:resource'],17,bpi_challenge_2012,0.8966718940581982,0.8736468605687133,0.8713801865436352,0.8966718940581982,dense-multiple,10
3289,1,['org:resource'],18,bpi_challenge_2012,0.9350883519653804,0.9217181317457672,0.9214983974026244,0.9350883519653804,dense-multiple,10
3290,1,['org:resource'],19,bpi_challenge_2012,0.890528233151184,0.8734065506624082,0.8701796999924369,0.890528233151184,dense-multiple,10
3291,1,['org:resource'],2,bpi_challenge_2012,0.3661853464741386,0.13441150040446406,0.19655686739223885,0.3661853464741386,dense-multiple,10
3292,1,['org:resource'],20,bpi_challenge_2012,0.9322323462414579,0.9310077966234267,0.9232460509813117,0.9322323462414579,dense-multiple,10
3293,1,['org:resource'],21,bpi_challenge_2012,0.8798308017688906,0.8742984945982476,0.8579707919735629,0.8798308017688906,dense-multiple,10
3294,1,['org:resource'],22,bpi_challenge_2012,0.9192346424974823,0.9212686704847569,0.9093218319031567,0.9192346424974823,dense-multiple,10
3295,1,['org:resource'],23,bpi_challenge_2012,0.892974527526705,0.8963301465452167,0.8774590447321552,0.892974527526705,dense-multiple,10
3296,1,['org:resource'],24,bpi_challenge_2012,0.9087734613705806,0.9096151381146569,0.8992229198413773,0.9087734613705806,dense-multiple,10
3297,1,['org:resource'],25,bpi_challenge_2012,0.8869114665465195,0.883884551043194,0.8683294857408016,0.8869114665465195,dense-multiple,10
3298,1,['org:resource'],26,bpi_challenge_2012,0.8912574850299401,0.889065029557696,0.8799261000369594,0.8912574850299401,dense-multiple,10
3299,1,['org:resource'],27,bpi_challenge_2012,0.8903225806451613,0.884731224377194,0.8752372960597713,0.8903225806451613,dense-multiple,10
3300,1,['org:resource'],28,bpi_challenge_2012,0.8928381962864721,0.890448376896376,0.8810594913681501,0.8928381962864721,dense-multiple,10
3301,1,['org:resource'],29,bpi_challenge_2012,0.8839900799118214,0.8810655519454215,0.8700759337108577,0.8839900799118214,dense-multiple,10
3302,1,['org:resource'],3,bpi_challenge_2012,1.0,1.0,1.0,1.0,dense-multiple,10
3303,1,['org:resource'],30,bpi_challenge_2012,0.8895382817066043,0.8950514591180148,0.8805173993892028,0.8895382817066043,dense-multiple,10
3304,1,['org:resource'],31,bpi_challenge_2012,0.8838570548367222,0.8871068541530797,0.8698385358700987,0.8838570548367222,dense-multiple,10
3305,1,['org:resource'],32,bpi_challenge_2012,0.8942181340341656,0.8957538456146625,0.884684351419337,0.8942181340341656,dense-multiple,10
3306,1,['org:resource'],33,bpi_challenge_2012,0.8852288488210819,0.8842718609885499,0.8727116486830844,0.8852288488210819,dense-multiple,10
3307,1,['org:resource'],34,bpi_challenge_2012,0.8803986710963455,0.8852798480360534,0.8700847144115554,0.8803986710963455,dense-multiple,10
3308,1,['org:resource'],35,bpi_challenge_2012,0.8730407523510971,0.8772518479898993,0.8597780905906913,0.8730407523510971,dense-multiple,10
3309,1,['org:resource'],36,bpi_challenge_2012,0.8787375415282392,0.8827631600012613,0.8677635349692135,0.8787375415282392,dense-multiple,10
3310,1,['org:resource'],37,bpi_challenge_2012,0.8731899956121105,0.877122838103083,0.8627019602238963,0.8731899956121105,dense-multiple,10
3311,1,['org:resource'],38,bpi_challenge_2012,0.8897748592870544,0.887190232296579,0.878369830838003,0.8897748592870544,dense-multiple,10
3312,1,['org:resource'],39,bpi_challenge_2012,0.8713363139592648,0.8694429828719107,0.8582969189928521,0.8713363139592648,dense-multiple,10
3313,1,['org:resource'],4,bpi_challenge_2012,0.7068322981366459,0.6509228974663208,0.6544535697475344,0.7068322981366459,dense-multiple,10
3314,1,['org:resource'],40,bpi_challenge_2012,0.8666315234580917,0.8675685790958033,0.8580013388544911,0.8666315234580917,dense-multiple,10
3315,1,['org:resource'],5,bpi_challenge_2012,0.7867494824016563,0.6609914307378456,0.6994097052973347,0.7867494824016563,dense-multiple,10
3316,1,['org:resource'],6,bpi_challenge_2012,0.8337829158638407,0.7802152345290078,0.7947159783593514,0.8337829158638407,dense-multiple,10
3317,1,['org:resource'],7,bpi_challenge_2012,0.8579628887998932,0.7656242041753016,0.7956692975242007,0.8579628887998932,dense-multiple,10
3318,1,['org:resource'],8,bpi_challenge_2012,0.8123691190841826,0.7134058450199708,0.7436709459407881,0.8123691190841826,dense-multiple,10
3319,1,['org:resource'],9,bpi_challenge_2012,0.887854482956173,0.829118139393983,0.8509743200589477,0.887854482956173,dense-multiple,10
