,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length
38,1,['org:resource'],road_traffic_fine_management_process,0.8115178788615909,0.6756760205309177,0.7329517030994358,0.8115178788615909,2644.6739410877226,transformer-multiple,Max Case Length
39,1,['org:group'],sepsis,0.6470796460176991,0.6292357717372944,0.6095354981143336,0.6470796460176991,48.2295184135437,transformer-single,Average Case Length / 2
40,1,['org:group'],sepsis,0.6433982300884956,0.6346282444109368,0.606044470880122,0.6433982300884956,36.43435559272766,dense-multiple,Average Case Length
41,1,['org:resource'],bpi_challenge_2012,0.8586367468186745,0.8236777455241817,0.8253563615841631,0.8586367468186745,801.538664484024,transformer-single,Max Case Length
42,1,['org:resource'],bpi_challenge_2017,0.9043515472053955,0.8740613317556675,0.8802685081655981,0.9043515472053955,2933.221052789688,dense-multiple,Average Case Length
43,1,['org:group'],sepsis,0.6298761061946903,0.6170435100962357,0.5885434751771049,0.6298761061946903,50.01146278381348,transformer-single,Max Case Length
44,1,['org:group'],sepsis,0.6459469026548672,0.6411330708914467,0.6079244228907288,0.6459469026548672,81.78283171653747,transformer-multiple,Average Case Length / 2
45,1,['org:resource'],bpi_challenge_2012,0.8597286339368151,0.8234311488703054,0.826899946542702,0.8597286339368151,758.2361977100372,transformer-single,Average Case Length / 2
46,1,['org:resource'],bpi_challenge_2012,0.6952791939303922,0.6623396384587844,0.6557511322053884,0.6952791939303922,739.4846518993378,transformer-single,Without prefix
47,1,['org:role'],bpi_challenge_2020,0.8186942517343905,0.7691289116878588,0.778383558535994,0.8186942517343905,234.58212943077086,transformer-multiple,Average Case Length
48,1,['org:resource'],bpi_challenge_2017,0.7271156415171052,0.6733574968839068,0.6780198507096826,0.7271156415171052,7354.588309383393,transformer-multiple,Without prefix
49,1,['org:resource'],bpi_challenge_2017,0.900776933878622,0.8630625063226349,0.8757081495411266,0.900776933878622,6529.911496353149,transformer-multiple,Average Case Length
50,1,['org:resource'],bpi_challenge_2012,0.8621813656617558,0.8230785859781757,0.8299666490988734,0.8621813656617558,10068.233025074005,bi-lstm-single,Average Case Length
51,1,['Resource'],helpdesk,0.8136705236788739,0.7907511042507018,0.7683683088339385,0.8136705236788739,34.07572236061096,dense-single,Max Case Length
52,1,['org:resource'],bpi_challenge_2017,0.9043199436945016,0.8762626764695036,0.880588619444558,0.9043199436945016,2938.3329345703123,dense-multiple,Max Case Length
53,1,['org:resource'],bpi_challenge_2012,0.8607241780739432,0.8217805856521727,0.8278322761200316,0.8607241780739432,1801.3739221572876,transformer-multiple,Max Case Length
54,1,['org:resource'],road_traffic_fine_management_process,0.8107078569691073,0.6828067512881605,0.7331121152273226,0.8107078569691073,823.7155207633972,dense-single,Average Case Length / 2
55,1,['org:group'],sepsis,0.6370973451327434,0.6190379632275278,0.597309443939314,0.6370973451327434,86.76325812339783,transformer-multiple,Max Case Length
56,1,['org:role'],bpi_challenge_2020,0.815101585728444,0.769957886467236,0.7747717211052089,0.815101585728444,318.4184621810913,transformer-single,Max Case Length
57,1,['org:resource'],road_traffic_fine_management_process,0.8116565312576015,0.6772496145752038,0.7333072440763939,0.8116565312576015,2262.645339870453,transformer-multiple,Average Case Length
58,1,['org:resource'],bpi_challenge_2012,0.8608245353458311,0.8261879162712904,0.8288817614075432,0.8608245353458311,764.2470921993256,transformer-single,Average Case Length
59,1,['Resource'],helpdesk,0.81432661338423,0.7821174308526855,0.76706861297261,0.81432661338423,42.520429611206055,dense-multiple,Average Case Length
60,1,['org:group'],sepsis,0.5423008849557522,0.5001262142761285,0.4889607895987385,0.5423008849557522,35.51537771224976,dense-multiple,Without prefix
61,1,['org:group'],sepsis,0.6503362831858407,0.6414389557403094,0.6163102215256849,0.6503362831858407,529.2528501987457,bi-lstm-multiple,Average Case Length / 2
62,1,['Resource'],helpdesk,0.8007276631277586,0.7674719805059551,0.7469375079874769,0.8007276631277586,87.49467630386353,bi-lstm-single,Without prefix
63,1,['org:resource'],bpi_challenge_2012,0.8581991891132431,0.8187610223939202,0.8253432077378344,0.8581991891132431,1322.2820184230804,transformer-multiple,Average Case Length
64,1,['Resource'],helpdesk,0.8110461648574496,0.7783921820452608,0.7696494139966705,0.8110461648574496,33.95496463775635,dense-single,Average Case Length
65,1,['org:resource'],bpi_challenge_2017,0.9041465514590572,0.8746085864881359,0.8802183743619222,0.9041465514590572,2933.286600589752,dense-multiple,Average Case Length / 2
66,1,['org:resource'],bpi_challenge_2017,0.7275316120523833,0.6716648061857222,0.6782574765088473,0.7275316120523833,2417.0096060752867,dense-single,Without prefix
67,1,['org:resource'],bpi_challenge_2012,0.8612460358877604,0.8278962736642301,0.8294024624235355,0.8612460358877604,459.85858860015867,dense-single,Average Case Length
68,1,['org:group'],sepsis,0.5410973451327433,0.5055521589878285,0.4906456041978732,0.5410973451327433,47.44558482170105,transformer-single,Without prefix
69,1,['org:resource'],road_traffic_fine_management_process,0.8105497445876916,0.6809023111730459,0.7329630247576018,0.8105497445876916,1294.746800661087,transformer-single,Average Case Length / 2
70,1,['Resource'],helpdesk,0.8047238458785637,0.7758811489281616,0.7632693696743974,0.8047238458785637,119.90473890304565,bi-lstm-single,Average Case Length / 2
71,1,['org:group'],sepsis,0.6520353982300885,0.6485393251996927,0.6168266807064217,0.6520353982300885,977.5276434421539,bi-lstm-multiple,Average Case Length
72,1,['org:resource'],road_traffic_fine_management_process,0.8107711019216736,0.6900779587792174,0.7345287107769368,0.8107711019216736,1303.3644049167633,transformer-single,Max Case Length
73,1,['org:resource'],road_traffic_fine_management_process,0.7831744101191924,0.6616887526911625,0.7075673747008246,0.7831744101191924,797.6090240001679,dense-single,Without prefix
74,1,['Resource'],helpdesk,0.7997137063103901,0.7426632621407164,0.7434530977385974,0.7997137063103901,32.97458925247192,dense-single,Without prefix
75,1,['org:resource'],bpi_challenge_2012,0.8627232949299506,0.8285750496650438,0.8309666323588999,0.8627232949299506,584.5648427009583,dense-multiple,Average Case Length
76,1,['Resource'],helpdesk,0.8136108791602051,0.7810144962539483,0.7690652394446232,0.8136108791602051,43.11765632629395,dense-multiple,Max Case Length
77,1,['org:role'],bpi_challenge_2020,0.7718037661050545,0.714710387906583,0.7265104615767888,0.7718037661050545,33.48797192573547,dense-multiple,Without prefix
78,1,['org:resource'],bpi_challenge_2017,0.9013116311169876,0.8681870235974221,0.8772067539633293,0.9013116311169876,3999.178962421417,transformer-single,Average Case Length
79,1,['Resource'],helpdesk,0.8136108791602051,0.7788055790356648,0.76511683643195,0.8136108791602051,1198.564067029953,bi-lstm-multiple,Max Case Length
80,1,['org:role'],bpi_challenge_2020,0.833374628344896,0.780356400267169,0.7923247017664394,0.833374628344896,38.69182991981506,dense-multiple,Average Case Length
81,1,['org:group'],sepsis,0.5427964601769911,0.49821717903501217,0.487825933039814,0.5427964601769911,73.32031664848327,bi-lstm-single,Without prefix
82,1,['org:role'],bpi_challenge_2020,0.7707507433102081,0.7117126355702119,0.7228207140014632,0.7707507433102081,28.735358572006227,dense-single,Without prefix
