,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,token_type
137,1,['org:group'],7,sepsis,0.7424412094064949,0.713741276570347,0.7103829795326784,0.7424412094064949,dense-multiple,Without History
138,1,['org:group'],70,sepsis,0.2,0.2,0.2,0.2,dense-multiple,Without History
139,1,['org:group'],71,sepsis,0.4,0.3,0.3333333333333333,0.4,dense-multiple,Without History
140,1,['org:group'],72,sepsis,0.4,0.3,0.3333333333333333,0.4,dense-multiple,Without History
141,1,['org:group'],73,sepsis,0.2,0.2,0.2,0.2,dense-multiple,Without History
142,1,['org:group'],74,sepsis,0.6,0.6,0.6,0.6,dense-multiple,Without History
143,1,['org:group'],75,sepsis,0.6,0.8,0.6666666666666666,0.6,dense-multiple,Without History
144,1,['org:group'],76,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
145,1,['org:group'],77,sepsis,0.4,0.4,0.4,0.4,dense-multiple,Without History
146,1,['org:group'],78,sepsis,0.4,0.3,0.3333333333333333,0.4,dense-multiple,Without History
147,1,['org:group'],79,sepsis,0.4,0.4,0.4,0.4,dense-multiple,Without History
148,1,['org:group'],8,sepsis,0.7364438839848676,0.7269875914145325,0.7145536975375303,0.7364438839848676,dense-multiple,Without History
149,1,['org:group'],80,sepsis,0.2,0.2,0.2,0.2,dense-multiple,Without History
150,1,['org:group'],81,sepsis,0.6,0.6,0.6,0.6,dense-multiple,Without History
151,1,['org:group'],82,sepsis,0.2,0.2,0.2,0.2,dense-multiple,Without History
152,1,['org:group'],83,sepsis,0.2,0.2,0.2,0.2,dense-multiple,Without History
153,1,['org:group'],84,sepsis,0.5,0.375,0.41666666666666663,0.5,dense-multiple,Without History
154,1,['org:group'],85,sepsis,0.25,0.125,0.16666666666666666,0.25,dense-multiple,Without History
155,1,['org:group'],86,sepsis,0.25,0.25,0.25,0.25,dense-multiple,Without History
156,1,['org:group'],87,sepsis,0.25,0.25,0.25,0.25,dense-multiple,Without History
